PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
U12798,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12800,Disposed Properties,,,Pre-acquisition Void,NULL,Brian Lambe,In Development - pre closing,Dun Laoghaire Rathdown ,General Needs,Apartment,2022,2
U12803,College Street,Baldoyle ,Dublin 13,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Bungalow - terraced,2022,2
U12805,College Street,Baldoyle ,Dublin 13,Occupied,Property,Sarah Mallon,Residential In Management,Fingal County ,General Needs,Bungalow - terraced,2022,1
U12808,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
U12809,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12810,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12814,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12817,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
U12818,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12819,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,3
U12820,"An Tobar, Newfoundwell Road ",Drogheda ,Co. Louth,Occupied,Property,Sarah Mallon,Residential In Management,Louth County ,General Needs,Terraced House,2022,2
