PropertyID,PropertyStreetCode,PropertyTown,PropertyCounty,PropertyCurrentStatus,PropertyType,PropertyAreaOffice,PropertyOwningBody,PropertyLocalAuthorityArea,PropertySubType,PropertyStyle,YearOfConstruction,BedSpaces
3751,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3752,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
U13844,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
3754,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3755,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
U13845,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
U13846,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
3759,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
U13847,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,1
3760,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3761,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3763,Carrigabrick Lodge,Courthouse Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3764,Carrigabrick Lodge,Fermoy,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork County ,Mental Health Disability (Part,Room in Group Home,2007,1
3766,Elderwood,Boreenmanna Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,2006,1
3767,Elderwood,Boreenmanna Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,2006,1
3768,Elderwood,Boreenmanna Road,Co. Cork,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Cork City ,General Needs,Room in Group Home,2006,1
377,Killarney Court Estate,Killarney Street,Dublin 1,Occupied,Property,Eimear Lynch,Residential In Management,Dublin City ,Older Persons - Sheltered,Apartment,2002,2
3772,Brooklawn,Tralee,Co. Kerry,Occupied,Room in Group Home,Gerard Deegan,Residential In Management,Kerry County ,Mental Health Disability (Part,Room in Group Home,1988,1
3774,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,NULL,Property,Sold/Disposed,Disposed/Sold,NULL,General Needs,Duplex,2008,3
3775,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Bungalow -semi-detached,2006,3
3777,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Bungalow -semi-detached,2006,3
U13848,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
3779,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Bungalow - terraced,2006,3
U13849,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
3780,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,NULL,Property,Sold/Disposed,Disposed/Sold,NULL,General Needs,Duplex,2008,3
3781,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,NULL,Property,Sold/Disposed,Disposed/Sold,NULL,General Needs,Apartment,2008,2
U13850,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
U13851,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,3
U13852,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,2
3786,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Semi-detached House,2006,2
3787,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Semi-detached House,2006,2
U13853,The Willows,Dunshaughlin,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Apartment,2022,1
379,Killarney Court Estate,Killarney Street,DUblin 1,Occupied,Property,Eimear Lynch,Residential In Management,Dublin City ,Older Persons - Sheltered,Apartment,2002,1
3790,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Semi-detached House,2006,2
3791,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,Occupied,Property,Aimee McGee,Residential In Management,Galway City ,General Needs,Semi-detached House,2006,2
3793,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,NULL,Property,Sold/Disposed,Disposed/Sold,NULL,General Needs,Duplex,2008,3
3795,Galway Leasing - Na Blatha Creige/Tornog,Galway,Co. Galway,NULL,Property,Sold/Disposed,Disposed/Sold,NULL,General Needs,Apartment,2008,2
5542,Herberton Block A,Rialto,Dublin 8,Occupied,Property,Sarah Mallon,Residential In Management,Dublin City ,General Needs,Apartment,2007,1
5544,Herberton Block A,Rialto,Dublin 8,Occupied,Property,Sarah Mallon,Residential In Management,Dublin City ,General Needs,Apartment,2007,2
5545,Herberton Block A,Rialto,Dublin 8,Occupied,Property,Sarah Mallon,Residential In Management,Dublin City ,General Needs,Apartment,2007,2
5548,Herberton Block A,Rialto,Dublin 8,Occupied,Property,Sarah Mallon,Residential In Management,Dublin City ,General Needs,Apartment,2007,2
5549,Herberton Block A,Rialto,Dublin 8,Occupied,Property,Sarah Mallon,Residential In Management,Dublin City ,General Needs,Apartment,2007,2
2243,Lios Rua,Tralee,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Terraced House,2004,2
2244,Lios Rua,Tralee,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Terraced House,2004,2
2245,Lios Rua,Tralee,Co. Kerry,Occupied,Property,Gerard Deegan,Residential In Management,Kerry County ,General Needs,Semi-detached House,2004,2
4289,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2007,3
429,The Belfry (Owned),Stepaside,Dublin 18,Occupied,Property,Brian Lambe,Residential In Management,Dun Laoghaire Rathdown ,General Needs,Apartment,2008,2
4292,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,2009,3
4293,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,1997,2
4295,Laois County Leasing,Ballylinan,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2007,3
4296,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4298,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Semi-detached House,2008,2
4299,Laois County Leasing,Portarlington,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,1997,2
U13826,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13827,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13828,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13829,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
U13830,Effernock,Trim,Co. Meath,Occupied,Property,Sarah Mallon,Residential In Management,Meath County ,General Needs,Terraced House,2022,3
4304,Laois County Leasing,Portarlington,Co. Laois,Housing Void,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Apartment,2009,2
4306,Laois County Leasing,Portlaoise,Co. Laois,Occupied,Property,Robert O'Keeffe,Residential In Management,Laois County ,General Needs,Terraced House,2008,3
